Date,AAPL,GLD,GOOG,IWM,MSFT,SPY,TLT,VNQ
2018-01-02,40.30417251586914,125.1500015258789,52.816375732421875,138.88438415527344,78.870361328125,236.5621337890625,99.45979309082031,60.17097854614258
2018-01-03,40.297157287597656,124.81999969482422,53.68326187133789,139.02880859375,79.23741912841797,238.05845642089844,99.93537139892578,59.99631118774414
2018-01-04,40.48432922363281,125.45999908447266,53.877662658691406,139.39878845214844,79.93479919433594,239.06179809570312,99.9195327758789,58.962764739990234
2018-01-05,40.94526290893555,125.33000183105469,54.6627197265625,139.68760681152344,80.92584991455078,240.65487670898438,99.6341781616211,58.99188232421875
2018-01-08,40.79317855834961,125.30999755859375,54.89630889892578,139.9041290283203,81.0084228515625,241.09500122070312,99.5707778930664,59.29758071899414
2018-01-09,40.78850173950195,124.7300033569336,54.862579345703125,139.71463012695312,80.95339965820312,241.64073181152344,98.23926544189453,58.533348083496094
2018-01-10,40.77914810180664,125.02999877929688,54.68156814575195,139.732666015625,80.58635711669922,241.2711181640625,98.12036895751953,57.87826156616211
2018-01-11,41.01077651977539,125.44000244140625,54.82588577270508,142.1331329345703,80.82490539550781,243.03140258789062,98.52462768554688,57.68174362182617
2018-01-12,41.434261322021484,126.95999908447266,55.65606689453125,142.72877502441406,82.21971130371094,244.61572265625,98.69107055664062,57.2159309387207
2018-01-16,41.223697662353516,127.16999816894531,55.63126754760742,140.90582275390625,81.07266235351562,243.77957153320312,99.1031494140625,57.32511520385742
2018-01-17,41.90456008911133,126.13999938964844,56.13810729980469,142.24147033691406,82.7152328491211,246.1031494140625,98.96842956542969,57.72543716430664
2018-01-18,41.94198989868164,125.86000061035156,56.02949905395508,141.26681518554688,82.67852020263672,245.689453125,98.04905700683594,56.98301696777344
2018-01-19,41.75481033325195,126.41999816894531,56.412357330322266,143.12588500976562,82.58676147460938,246.80726623535156,97.53385162353516,57.28871536254883
2018-01-22,41.413211822509766,126.6500015258789,57.319908142089844,143.89292907714844,84.06414794921875,248.8140869140625,97.62899017333984,57.812767028808594
2018-01-23,41.42256546020508,127.27999877929688,58.02214050292969,144.35311889648438,84.33026123046875,249.34219360351562,98.04905700683594,58.61338806152344
2018-01-24,40.76276779174805,128.8300018310547,57.737979888916016,143.4597625732422,84.25685119628906,249.24533081054688,97.51802825927734,58.307708740234375
2018-01-25,40.03511047363281,127.97000122070312,58.0419807434082,143.5138702392578,84.7248306274414,249.35096740722656,98.31855773925781,58.205814361572266
2018-01-26,40.128692626953125,128.07000732421875,58.31325149536133,144.02828979492188,86.31236267089844,252.23800659179688,97.95389556884766,58.00202178955078
2018-01-29,39.298095703125,127.3499984741211,58.30036163330078,143.216064453125,86.18390655517578,250.56565856933594,97.27235412597656,57.223209381103516
2018-01-30,39.06645965576172,126.80000305175781,57.7107048034668,141.8443603515625,85.10107421875,247.99559020996094,96.70166778564453,56.80832290649414
2018-01-31,39.17409133911133,127.6500015258789,58.02065658569336,141.10440063476562,87.18412017822266,248.11874389648438,97.27235412597656,57.827327728271484
2018-02-01,39.2559700012207,128.07000732421875,57.909568786621094,141.54656982421875,86.49586486816406,247.83697509765625,95.86258697509766,56.58271026611328
2018-02-02,37.55266189575195,126.38999938964844,55.14228057861328,138.82127380371094,84.22013854980469,242.4417266845703,94.97307586669922,56.10232925415039
2018-02-05,36.61442184448242,126.70999908447266,52.36013412475586,133.4878387451172,80.75150299072266,232.30209350585938,95.87054443359375,54.43556594848633
2018-02-06,38.14461135864258,125.37999725341797,53.590030670166016,135.0851593017578,83.8072280883789,236.87899780273438,95.27484893798828,54.44285202026367
2018-02-07,37.32804489135742,124.79000091552734,52.0020751953125,135.22052001953125,82.22891235351562,235.5940399169922,94.36943817138672,54.209922790527344
2018-02-08,36.30089569091797,124.9800033569336,49.66822814941406,131.24986267089844,78.00776672363281,226.75714111328125,94.26622009277344,52.65233612060547
2018-02-09,36.744911193847656,124.7699966430664,51.46646499633789,132.4501190185547,80.91667938232422,230.1633758544922,93.6705322265625,53.96975326538086
2018-02-12,38.22495651245117,125.37000274658203,52.168697357177734,133.70445251464844,81.78841400146484,233.54319763183594,94.08354949951172,53.991573333740234
2018-02-13,38.60787582397461,126.08000183105469,52.1766357421875,133.9932098388672,82.43075561523438,234.12411499023438,94.50446319580078,54.370059967041016
2018-02-14,39.319705963134766,128.22999572753906,53.04946517944336,136.40269470214844,83.7214584350586,237.28387451171875,93.4560775756836,53.97702407836914
2018-02-15,40.639991760253906,128.3800048828125,54.032405853271484,137.89175415039062,85.42709350585938,240.31166076660156,93.77376556396484,54.50106430053711
2018-02-16,40.50843048095703,127.95999908447266,54.29425048828125,138.37904357910156,84.818603515625,240.38206481933594,94.28205871582031,54.799495697021484
2018-02-20,40.3721923828125,126.23999786376953,54.67413330078125,137.2419891357422,85.48239135742188,238.876953125,93.86907958984375,54.151702880859375
2018-02-21,40.188934326171875,125.66000366210938,55.114524841308594,137.3863525390625,84.34840393066406,237.68875122070312,92.71749877929688,53.08177185058594
2018-02-22,40.52488327026367,126.30000305175781,54.88092803955078,137.16978454589844,84.5696792602539,237.99679565429688,92.99545288085938,53.68585968017578
2018-02-23,41.22966384887695,126.13999938964844,55.8807258605957,138.95657348632812,86.7177963256836,241.79037475585938,93.8214340209961,54.54473876953125
2018-02-26,42.04486083984375,126.44999694824219,56.7218132019043,139.86807250976562,87.97162628173828,244.5980987548828,93.85322570800781,54.69757843017578
2018-02-27,41.90860366821289,125.12999725341797,55.459190368652344,137.85562133789062,86.84687805175781,241.5438995361328,93.71819305419922,53.42386245727539
