date,strategy_equity,equal_weight_equity,spy_equity,static_minvar_equity,strategy_ret,equal_weight_ret,spy_ret,static_minvar_ret,turnover,costs
2018-01-31,1.007303029348483,1.007303029348483,1.0004966551557701,,0.007303029348483124,0.007303029348483124,0.0004966551557701,,0.0,0.0
2018-02-01,1.00246233491248,1.00246233491248,0.9993608648254878,,-0.004805599005429338,-0.004805599005429338,-0.0011352265141811,,0.0,0.0
2018-02-02,0.9787293046226316,0.9787293046226316,0.9776050495605885,,-0.023674735162912984,-0.023674735162912984,-0.021769729064484,,0.0,0.0
2018-02-05,0.9524757746444373,0.9524757746444373,0.9367192361892869,,-0.02682409717804131,-0.02682409717804131,-0.041822424495126,,0.0,0.0
2018-02-06,0.9665503066258995,0.9665503066258995,0.9551745097969435,,0.01477678735369015,0.01477678735369015,0.0197020333250925,,0.0,0.0
2018-02-07,0.9553405146330151,0.9553405146330151,0.9499930109930517,,-0.011597732591918927,-0.011597732591918927,-0.0054246619342819,,0.0,0.0
2018-02-08,0.929199151297881,0.929199151297881,0.9143596909913975,,-0.027363398636114568,-0.027363398636114568,-0.037509033844792,,0.0,0.0
2018-02-09,0.9439401821854264,0.9439401821854264,0.9280945929876026,,0.015864231975411813,0.015864231975411813,0.0150213336518727,,0.0,0.0
2018-02-12,0.955559320201492,0.955559320201492,0.941723156537434,,0.012309188903437386,0.012309188903437386,0.0146844552837659,,0.0,0.0
2018-02-13,0.9603153933048442,0.9603153933048442,0.9440656090419467,,0.004977266196670199,0.004977266196670199,0.0024874109638819,,0.0,0.0
2018-02-14,0.9700425857534367,0.9700425857534367,0.9568072620875153,,0.010129164352054488,0.010129164352054488,0.0134965757925438,,0.0,0.0
2018-02-15,0.9834331829627476,0.9834331829627476,0.9690161184049455,,0.01380413335040365,0.01380413335040365,0.0127599954569674,,0.0,0.0
2018-02-16,0.9841631063627762,0.9841631063627762,0.9692999739461604,,0.0007422196166183751,0.0007422196166183751,0.0002929317023974,,0.0,0.0
2018-02-20,0.9801450272048481,0.9801450272048481,0.9632311351116788,,-0.004082737030021263,-0.004082737030021263,-0.0062610533349903,,0.0,0.0
2018-02-21,0.9739832717356026,0.9739832717356026,0.9584397075735677,,-0.006286575249805025,-0.006286575249805025,-0.0049743279296672,,0.0,0.0
2018-02-22,0.9771408753681311,0.9771408753681311,0.959681836350224,,0.0032419485263866375,0.0032419485263866375,0.0012959905217209,,0.0,0.0
2018-02-23,0.9910148162687474,0.9910148162687474,0.9749785574321493,,0.014198506326315861,0.014198506326315861,0.0159393670928487,,0.0,0.0
2018-02-26,1.000064335640867,1.000064335640867,0.9863003191626052,,0.009131568190061574,0.009131568190061574,0.0116123186957819,,0.0,0.0
2018-02-27,0.9875228601152881,0.9875228601152881,0.9739849403160896,,-0.01254066871362029,-0.01254066871362029,-0.0124864390766614,,0.0,0.0
2018-02-28,0.9826500743119416,0.9826500743119416,0.9641183524204606,,-0.004934352408588925,-0.004934352408588925,-0.0101301236674429,,0.0,0.0
2018-03-01,0.9739462667810472,0.9739462667810472,0.9500993494394252,,-0.008857484223963288,-0.008857484223963288,-0.0145407490126499,,0.0,0.0
2018-03-02,0.9783109476569022,0.9783109476569022,0.9549968699802946,,0.004481439094458989,0.004481439094458989,0.0051547457050244,,0.0,0.0
2018-03-05,0.9842236575647894,0.9842236575647894,0.9660348988913436,,0.006043794073907137,0.006043794073907137,0.0115581833386289,,0.0,0.0
2018-03-06,0.9878266593883704,0.9878266593883704,0.968483812564038,,0.0036607551504053127,0.0036607551504053127,0.0025350157385668,,0.0,0.0
2018-03-07,0.9899178752847593,0.9899178752847593,0.96812883973526,,0.002116986696515775,0.002116986696515775,-0.0003665242765786,,0.0,0.0
