date,AAPL,GLD,GOOG,IWM,MSFT,SPY,TLT,VNQ
2018-01-31,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-02-07,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-02-14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-02-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-08,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-15,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-22,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-03-29,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-04-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-04-13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-04-20,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2018-04-27,0.0,0.28958990851586075,1.1516523425187837e-18,0.20099867006642794,1.5952003520968613e-18,0.005331623231883377,0.5040797981858279,1.8784326741201253e-17
2018-05-04,0.0,0.226058158630858,2.841339986407018e-18,0.27598229730068163,0.0,1.5110710421075393e-17,0.49795954406846027,0.0
2018-05-11,0.0,0.28640287292074434,1.3177540878952942e-18,0.3165375215300457,3.2222942363990715e-18,0.0,0.39705960554921005,2.1095679445685008e-19
2018-05-18,4.023363122996249e-18,0.19199456483280272,7.2386938894232e-18,0.4227197823590545,1.748973141361672e-18,0.0,0.3852856528081428,0.0
2018-05-25,0.0,0.2163245313998609,0.0,0.23948628812058426,1.635668944331432e-17,0.1764619119877127,0.36772726849184223,1.85641979122028e-17
2018-06-04,0.02004555222284035,0.3781885110661133,0.0,0.3376097160759783,1.2541936256824045e-17,0.06144459034835054,0.20271163028671743,6.173958539113994e-18
2018-06-11,0.031465695368350546,0.42337938120314905,0.0,0.1872808383541359,0.0,0.1685368772234505,0.1671943896814133,0.02214281816950077
2018-06-18,0.0,0.3808799875117156,0.0,0.22916538478678825,1.7567292499421058e-17,0.1870812206895093,0.2028734070119869,1.7977187701540254e-18
2018-06-25,0.0041717574976879715,0.5015583825596623,0.0,0.12555610382460833,1.2136935816250124e-17,0.20288575784472213,0.16582799827331937,1.2272182216663709e-17
2018-07-02,2.6041493357736113e-17,0.1945117833566755,1.2695175087944415e-17,0.0,0.0,0.42470563364992403,0.38078258299340056,4.989586790631581e-18
2018-07-10,9.12256214120275e-18,0.1311744250837788,0.0,0.016309172549717785,9.951904635465101e-18,0.3273247688444987,0.5251916335220047,0.0
2018-07-17,0.02663436323739408,0.1353860748472981,0.0,0.05420217724239219,0.0,0.23327269225901454,0.5505046924139012,7.044122527950471e-18
2018-07-24,0.014436583991804898,0.10828396631037726,6.202401248616329e-18,0.021832155952324222,0.0,0.44567349300013515,0.40977380074535846,6.688706189463386e-18
2018-07-31,5.622175346560331e-18,0.12591526569813719,1.7283865709172054e-17,0.006094707585076523,0.0,0.42016928403359044,0.4478207426831958,0.0
2018-08-07,0.0,0.13252512191000032,3.506354328727449e-17,2.813690361875949e-17,0.0,0.4736092005467241,0.3938656775432755,1.1817576860546536e-17
2018-08-14,0.0020489705897445763,0.14766955136760723,9.35345043493585e-18,0.0,2.8951317459240763e-18,0.4969340567469827,0.35334742129566554,0.0
2018-08-21,0.0014983386716021468,0.055304833995757335,0.005354959735064068,0.0,0.0,0.41759137361017223,0.5202504939874041,1.372136367423685e-17
2018-08-28,0.0,0.01353124719984616,7.982974744875271e-18,0.033953988865381306,0.039580139772138916,0.4196488068294111,0.46519659836640037,0.028089218966822205
2018-09-05,0.09909883165184898,0.04043071980962925,1.253759950117577e-18,0.03157879195546483,4.2139475153501396e-18,0.33067968773590495,0.498211968847152,0.0
2018-09-12,0.020108452380310716,0.01788100857144203,1.368723957574483e-17,0.027470351308076547,0.0,0.4819622289724007,0.45257795876777007,1.186461632587028e-17
2018-09-19,2.123086083279839e-18,0.05413605286899137,1.0372729296950994e-17,0.17604306477527593,0.0,0.3929119517585279,0.37690893059720487,0.0
2018-09-26,0.015053294881239635,0.2181230041290863,0.0,0.02718443599368059,0.0,0.4045136382320651,0.3351256267639284,1.1740204213250783e-18
2018-10-03,1.3754537983538248e-17,0.09131716108504835,0.0,0.005001873612421252,1.6077747212516347e-17,0.6652673361092867,0.23841362919324363,1.5519082444390877e-17
2018-10-10,0.04100376417195272,0.4632954415158706,1.6100846494821389e-19,0.1041183625445004,0.0,0.03481136802277976,0.31445544860314956,0.042315615141746775
2018-10-17,0.0462100479615266,0.3276038308750043,2.078794658347825e-18,0.028241465043308857,4.972792721264153e-19,0.12510534846281807,0.3988927779434433,0.07394652971389898
2018-10-24,0.03311631012371942,0.33613699758637594,8.88518833427503e-19,0.023064588108355537,0.0,0.11619722282221262,0.3955712404542937,0.09591364090504277
2018-10-31,0.0,0.2833803584505958,1.9887932883394404e-19,2.210769444009096e-18,0.0,0.1437019001458429,0.5235912980870696,0.04932644331649164
2018-11-07,0.0,0.2702800027729367,4.502207961954409e-18,3.0354949793516123e-18,0.0,0.13442179440770566,0.560275023081147,0.0350231797382108
2018-11-14,0.0,0.3645212300053118,0.0,0.0,1.0806918682042265e-17,0.11619733268986789,0.456863607435079,0.06241782986974133
2018-11-21,0.0,0.3402430421719021,0.0,2.408860511383216e-18,1.4945517464285815e-17,0.13589645315074905,0.48069104253467543,0.043169462142673504
